,neighbors,chemical_shift
0,"[['C', 2.7975500438315746, 0.0326942, 6, 2.55, 12], ['C', 2.357766508827086, 0.127568, 6, 2.55, 12], ['C', 1.3373830456173676, 0.432466, 6, 2.55, 12], ['F', 2.187842892100996, -0.164497, 9, 3.98, 19], ['F', 2.176435706576424, -0.164497, 9, 3.98, 19], ['H', 2.5319663912111356, 0.0692478, 1, 2.2, 1]]",283.041
1,"[['C', 2.348366238085928, 0.127568, 6, 2.55, 12], ['N', 2.7245876935957254, -0.324069, 7, 3.04, 14], ['C', 1.3591821356720823, 0.432466, 6, 2.55, 12], ['F', 2.187842892100996, -0.164497, 9, 3.98, 19], ['F', 2.1719631960068235, -0.164497, 9, 3.98, 19], ['H', 2.3735084801271706, 0.168506, 1, 2.2, 1]]",278.103
2,"[['C', 2.360541680837183, 0.127568, 6, 2.55, 12], ['N', 2.9901888880823386, -0.324069, 7, 3.04, 14], ['C', 1.3492619904787477, 0.432466, 6, 2.55, 12], ['F', 2.176435706576424, -0.164497, 9, 3.98, 19], ['F', 2.1719631960068235, -0.164497, 9, 3.98, 19]]",261.239
3,"[['C', 2.366177255157401, 0.0, 6, 2.55, 12], ['C', 2.965652331654693, 0.0, 6, 2.55, 12], ['C', 1.3543952614878, 0.0, 6, 2.55, 12], ['F', 2.169738585295516, 0.0, 9, 3.98, 19], ['F', 2.176943903839101, 0.0, 9, 3.98, 19], ['H', 2.850980551034335, 0.0, 1, 2.2, 1]]",255.713
4,"[['C', 2.3631752499454284, 0.0, 6, 2.55, 12], ['C', 2.9200314043962594, 0.0, 6, 2.55, 12], ['C', 1.3543463981464139, 0.0, 6, 2.55, 12], ['F', 2.169738585295516, 0.0, 9, 3.98, 19], ['F', 2.1789536967396304, 0.0, 9, 3.98, 19], ['H', 2.7677408472251437, 0.0, 1, 2.2, 1]]",257.689
5,"[['C', 2.7491377015098575, 0.0, 6, 2.55, 12], ['C', 2.3780730357842796, 0.0, 6, 2.55, 12], ['C', 1.3507294115684478, 0.0, 6, 2.55, 12], ['F', 2.176943903839101, 0.0, 9, 3.98, 19], ['F', 2.1789536967396304, 0.0, 9, 3.98, 19], ['H', 2.396420872855692, 0.0, 1, 2.2, 1]]",285.179
6,"[['C', 2.3628586974978587, 0.0555249, 6, 2.55, 12], ['C', 2.9947263920180447, -0.0379572, 6, 2.55, 12], ['C', 1.3527547495811045, 0.417441, 6, 2.55, 12], ['F', 2.177159594229946, -0.165902, 9, 3.98, 19], ['F', 2.1701333219140793, -0.165902, 9, 3.98, 19], ['H', 2.9450498963012577, 0.063051, 1, 2.2, 1]]",253.194
7,"[['C', 2.742305664796875, -0.0500792, 6, 2.55, 12], ['C', 2.3745843585056514, 0.0555249, 6, 2.55, 12], ['C', 1.3507899256570302, 0.417441, 6, 2.55, 12], ['F', 2.177159594229946, -0.165902, 9, 3.98, 19], ['F', 2.1791458849767777, -0.165902, 9, 3.98, 19], ['H', 2.3900342258457967, 0.0623044, 1, 2.2, 1]]",284.326
8,"[['C', 2.3648153359593347, 0.0555249, 6, 2.55, 12], ['C', 2.891972210696229, -0.0379572, 6, 2.55, 12], ['C', 1.3511255452865618, 0.417441, 6, 2.55, 12], ['F', 2.1701333219140793, -0.165902, 9, 3.98, 19], ['F', 2.1791458849767777, -0.165902, 9, 3.98, 19], ['H', 2.7276328407955894, 0.063051, 1, 2.2, 1]]",260.91
9,"[['C', 2.3658416229682016, 0.055139, 6, 2.55, 12], ['C', 2.8859160377952255, -0.0501003, 6, 2.55, 12], ['C', 1.3540229033908904, 0.41743, 6, 2.55, 12], ['F', 2.178469086760505, -0.165903, 9, 3.98, 19], ['F', 2.1697798668162664, -0.165903, 9, 3.98, 19], ['H', 2.6974549661187273, 0.0623042, 1, 2.2, 1]]",261.235
10,"[['C', 2.7398993846675945, -0.0447594, 6, 2.55, 12], ['C', 2.37527222657017, 0.055139, 6, 2.55, 12], ['C', 1.3499696524805067, 0.41743, 6, 2.55, 12], ['F', 2.178469086760505, -0.165903, 9, 3.98, 19], ['F', 2.176620670150193, -0.165903, 9, 3.98, 19], ['H', 2.3985945494735077, 0.0626476, 1, 2.2, 1]]",283.699
11,"[['C', 2.366187010209088, 0.055139, 6, 2.55, 12], ['C', 1.354001158906901, 0.41743, 6, 2.55, 12], ['F', 2.1697798668162664, -0.165903, 9, 3.98, 19], ['F', 2.176620670150193, -0.165903, 9, 3.98, 19], ['H', 2.9526927913483583, 0.0623042, 1, 2.2, 1]]",252.97
