SMILES,Shifts,Atom#,Solvent
C1(=C(C(=C(C(=C1F)[N+]([O-])=O)[H])[N+]([O-])=O)[H])[H],['-104.0'],[['7']],CDCl3
C(C(C(C(C(O[H])=O)(F)F)(F)F)(F)F)(F)(F)F,"['-127.695', '-125.15', '-121.0', '-83.328']","[['12', '13'], ['10', '11'], ['8', '9'], ['14', '15', '16']]",CDCl3
C(C(Cl)(F)Cl)(F)(F)F,"['-84.2789', '-76.9218']","[['5', '6', '8'], ['3']]",CDCl3
C(C(F)(Cl)F)(F)(F)F,"['-85.93', '-74.46']","[['5', '6', '8'], ['4', '7']]",CDCl3
C(F)(F)(C(=O)O[H])[H],['-126.98'],"[['5', '6']]",CDCl3
C1(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(F)[H],['-174.0'],[['7']],CDCl3
C(=O)(O[H])C(C(F)(F)F)(F)[H],"['-204.1', '-75.47']","[['6'], ['7', '8', '9']]",CDCl3
C(F)(F)(C(C(F)(F)F)([H])[H])F,['-63.46'],"[['4', '5', '6', '7', '8', '9']]",neat
C(F)(C(C(F)(F)F)(F)[H])([H])[H],"['-237.9', '-208.66', '-77.51']","[['4'], ['5'], ['6', '7', '8']]",CDCl3
C=1(C(=C(C(=C(C1[H])[H])[H])[H])[H])C(C(F)(F)F)=O,['-69.0'],"[['10', '11', '12']]",Unreported
C(F)(F)(C(C(F)(F)F)(F)[H])F,"['-213.79', '-75.98']","[['4'], ['5', '6', '7', '8', '9', '10']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])[H])[H])[H])C(F)([H])[H],['-207.0'],[['8']],Unreported
C1(=C(C(=C(C(=C1[H])[H])[H])F)[H])O[H],['-111.5'],[['8']],CDCl3
C(C(F)(F)F)(O[H])([H])[H],['-77.7'],"[['4', '5', '6']]",CDCl3
C(=C(F)[H])([H])[H],['-114.0'],[['3']],Unreported
C(=C=C([H])[H])(F)[H],['-176.0'],[['4']],CDCl3
C1(=C(C(=C(C(=C1F)[H])[H])[H])[H])C([H])([H])[H],['-117.8'],[['8']],CDCl3
C1(=C(C(=C(C(=C1[H])[H])F)[H])[H])C([H])([H])[H],['-118.3'],[['8']],CDCl3
C1(=C(C(=C2C(=C1F)C(=C(C(=C2[H])[H])[H])[H])[H])[H])[H],['-124.0'],[['11']],CDCl3
C(C(Cl)(Cl)Cl)(F)(F)F,['-82.2'],"[['6', '7', '8']]",CDCl3
C(C(Cl)(Cl)Cl)(F)(F)F,['-82.0'],"[['6', '7', '8']]",neat
C(C(F)(F)F)(C(C(F)(F)F)(F)F)(F)F,"['-127.9', '-82.5']","[['3', '4', '5', '6'], ['8', '9', '10', '12', '13', '14']]",neat
FC(C(=O)O[H])(F)F,"['-76.3', '-76.3']","[['1', '7', '8']]",CCl4
FC(C(=O)O[H])(F)F,['-76.55'],"[['1', '7', '8']]",CFCl3
FC(C(=O)O[H])(F)F,"['-78.5', '-78.5']","[['1', '7', '8']]",neat CFCl3
C(C(=O)OC([H])([H])[H])(F)(F)F,['-74.21'],"[['6', '7', '8']]",Unreported
C1(=C(C(=C(C2=C1C(=C(N2[H])[H])[H])[H])F)[H])[H],['-121.8'],[['10']],CDCl3
C1(=C(C(=C(C2=C1C3(C(C(O2)([H])[H])([H])[H])C(N(C(N3[H])=O)[H])=O)[H])[H])F)[H],['366.166'],[['17']],
C1(C(C(C(C2=C1C(=NC(=N2)N([H])[H])C(F)(F)F)([H])[H])([H])[H])([H])[H])([H])[H],"['317.873', '318.406', '327.215']","[['14'], ['13'], ['15']]",
C1(C(C(C(C(C1([H])[H])([H])[H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])(F)F,"['353.01', '362.602']","[['12'], ['11']]",
C=1(C(=C(C(=C(C1[H])[H])[N+](=O)[O-])[H])[H])F,['-108.9'],[['10']],CDCl3
C1(=C(C(=C(C2=C1C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])F)[H])[H],['359.997'],[['11']],
C1(=C(C(=C(C2=C1C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])F)[H])[H],['-121.8'],[['11']],CCl4
C1(=C(C(=C(C2=C1C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])F)[H])[H])[H],['359.886'],[['11']],
C1(=C(C(=C(C2=C1C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])F)[H])[H])[H],['-120.75'],[['11']],CCl4
C=1(C(=C(C(=C(C1F)[H])[H])[H])F)N([H])[H],"['377.056', '377.06']","[['9'], ['8']]",
C1(=C(C(=C(C2=C1N=NN2C(=C(C([H])([H])[H])C(S(C(C(C([H])([H])[H])([H])[H])([H])[H])=O)([H])[H])C3=C(C(=C(C(=C3[H])[H])F)[H])[H])[H])[H])[H])[H],['354.275'],[['25']],
C=1(C(=C(C(=C(C1[H])[H])C(O[H])(C#CC(=C2C(=C(C(C2([H])[H])([H])[H])[H])OS(C(F)(F)F)(=O)=O)[H])[H])C#C[H])[H])[H],"['321.655', '324.429', '324.659']","[['24'], ['26'], ['25']]",
C=1(C(=C(C(=C(C1C(F)(F)F)[H])[H])[H])[H])N([H])[H],['-60.62'],"[['9', '10', '11']]",Unreported
P(F)(F)F,['-35.1'],"[['2', '3', '4']]",Unreported
