,neighbors,chemical_shift
0,"[['C', 1.3373830456173676, 0.432466, 6, 2.55, 12]]",283.041
1,"[['C', 1.3591821356720823, 0.432466, 6, 2.55, 12]]",278.103
2,"[['C', 1.3492619904787477, 0.432466, 6, 2.55, 12]]",261.239
3,"[['C', 1.3543952614878, 0.0, 6, 2.55, 12]]",255.713
4,"[['C', 1.3543463981464139, 0.0, 6, 2.55, 12]]",257.689
5,"[['C', 1.3507294115684478, 0.0, 6, 2.55, 12]]",285.179
6,"[['C', 1.3527547495811045, 0.417441, 6, 2.55, 12]]",253.194
7,"[['C', 1.3507899256570302, 0.417441, 6, 2.55, 12]]",284.326
8,"[['C', 1.3511255452865618, 0.417441, 6, 2.55, 12]]",260.91
9,"[['C', 1.3540229033908904, 0.41743, 6, 2.55, 12]]",261.235
10,"[['C', 1.3499696524805067, 0.41743, 6, 2.55, 12]]",283.699
11,"[['C', 1.354001158906901, 0.41743, 6, 2.55, 12]]",252.97
12,"[['C', 1.3478999402707328, 0.12342, 6, 2.55, 12]]",295.621
13,"[['C', 1.3591010287200345, 0.423921, 6, 2.55, 12]]",277.851
14,"[['C', 1.33830136263281, 0.423921, 6, 2.55, 12]]",282.828
15,"[['C', 1.3425346706793235, 0.423921, 6, 2.55, 12]]",274.583
16,"[['C', 1.3437516591865644, 0.423921, 6, 2.55, 12]]",269.96
17,"[['C', 1.3482367944535003, 0.423921, 6, 2.55, 12]]",273.084
18,"[['C', 1.3389952061626316, 0.423921, 6, 2.55, 12]]",280.773
19,"[['N', 1.3626622406005242, -0.169663, 7, 3.04, 14]]",156.85
20,"[['C', 1.3402272842969953, 0.527815, 6, 2.55, 12]]",280.273
21,"[['C', 1.3551193001880777, 0.527815, 6, 2.55, 12]]",284.174
22,"[['C', 1.3393972679548711, 0.527815, 6, 2.55, 12]]",280.422
23,"[['C', 1.3517633289146227, 0.41744, 6, 2.55, 12]]",265.062
24,"[['C', 1.3490421669447137, 0.41744, 6, 2.55, 12]]",282.614
25,"[['C', 1.3527517540715437, 0.41744, 6, 2.55, 12]]",251.717
26,"[['C', 1.3588547484136715, 0.138853, 6, 2.55, 12], ['H', 1.852128805016682, 0.295409, 1, 2.2, 1]]",305.559
27,"[['C', 1.3483057945695154, 0.420079, 6, 2.55, 12]]",278.962
28,"[['C', 1.3488359687827483, 0.420079, 6, 2.55, 12]]",258.919
29,"[['C', 1.349134953398841, 0.420079, 6, 2.55, 12]]",258.531
30,"[['C', 1.3406027602015709, 0.135069, 6, 2.55, 12]]",285.333
31,"[['C', 1.3375172127553654, 0.157081, 6, 2.55, 12]]",301.167
32,"[['C', 1.3373079079123795, 0.141658, 6, 2.55, 12]]",287.239
33,"[['C', 1.34327722933256, 0.143354, 6, 2.55, 12]]",296.871
34,"[['C', 1.3302415233589566, 0.150918, 6, 2.55, 12]]",279.46
35,"[['C', 1.3518113388633806, 0.417487, 6, 2.55, 12]]",258.329
36,"[['C', 1.3486798948920904, 0.417487, 6, 2.55, 12]]",284.34
37,"[['C', 1.351664536945675, 0.417487, 6, 2.55, 12]]",254.739
38,"[['C', 1.3464068543511365, 0.141732, 6, 2.55, 12]]",313.398
39,"[['C', 1.348247858872788, 0.418819, 6, 2.55, 12]]",264.436
40,"[['C', 1.34922387198182, 0.418819, 6, 2.55, 12]]",264.052
41,"[['C', 1.3540871793762077, 0.418819, 6, 2.55, 12]]",278.381
42,"[['C', 1.3413820221147827, 0.125607, 6, 2.55, 12]]",286.927
43,"[['C', 1.358187494572307, 0.165437, 6, 2.55, 12]]",329.941
44,"[['C', 1.3512760842901936, 0.419438, 6, 2.55, 12]]",261.007
45,"[['C', 1.3477582696035157, 0.419438, 6, 2.55, 12]]",280.164
46,"[['C', 1.35155762920243, 0.419438, 6, 2.55, 12]]",261.806
47,"[['C', 1.349526079285082, 0.41744, 6, 2.55, 12]]",283.985
48,"[['C', 1.3514995644681707, 0.41744, 6, 2.55, 12]]",255.05
49,"[['C', 1.35187481123354, 0.41744, 6, 2.55, 12]]",258.894
50,"[['C', 1.3336177918208534, 0.153448, 6, 2.55, 12]]",297.377
51,"[['C', 1.3307363771763936, 0.0, 6, 2.55, 12]]",272.31
52,"[['C', 1.332641900008615, 0.0, 6, 2.55, 12]]",276.114
53,"[['C', 1.3365246891682179, 0.0, 6, 2.55, 12]]",275.003
54,"[['C', 1.3524454277372489, 0.417441, 6, 2.55, 12]]",275.625
