Model,Metric,5 angstroms,4 angstroms,3 angstroms,2 angstroms
MLP,,1.3508212562471853,1.2616002067713084,0.947792083698307,0.8007543877817596
SVR,,1.03258995511628,0.787752144589447,0.798387703730199,0.6285895808000102
GBR,,1.099053514587964,0.8161394268967581,0.41963808170449757,0.5856638263135623
GPR,,1.1919564768284432,0.9492729520609756,1.0779959021376546,1.0970970060454064
RF,,1.0076982969969115,0.7922467459266657,0.5308858755505494,0.4872527030022314
DT,,1.1882584049617764,1.0779590665825276,0.6301374307684956,0.6104275951660073
BR,,0.8432789362112709,0.8214274278129164,0.5806077967559478,0.500268478922919
ADB,,0.9648987661142002,0.759732735320876,0.8588675138786828,0.6603025692004232
ET,,1.2492880570978695,0.786455606342567,0.9549197290339052,0.5093634730106602
KNN,,0.695812133208292,0.7129758209797196,0.6664015832525781,0.5573394786042948
EN,,1.100384104904562,0.9448991527484352,0.8557599707518954,0.8057488838670125
LSO,,1.1940456836138809,1.1940456836138809,0.8293613891788961,0.8069883153208398
RDG,,1.0195050350723471,1.0041498460649374,0.8116664089525912,0.8229336304190573
